Description,Measurement,Compensated
artificialsample,1.00,1.10
artificialsample,1.00,1.10
artificialsample,1.10,1.20
artificialsample,1.10,1.20
retentate_crossflow_microfiltration,2.10,2.30
retentate_crossflow_microfiltration,2.10,2.30
retentate_crossflow_microfiltration,2.20,2.41
retentate_crossflow_microfiltration,2.20,2.41
permeate_crossflow_microfiltration,2.00,2.19
permeate_crossflow_microfiltration,2.00,2.19
permeate_crossflow_microfiltration,1.90,2.08
permeate_crossflow_microfiltration,1.90,2.08
retentate_crossflow_ultrafiltration,2.00,2.19
retentate_crossflow_ultrafiltration,2.00,2.19
retentate_crossflow_ultrafiltration,2.20,2.41
retentate_crossflow_ultrafiltration,2.20,2.41
permeate_crossflow_ultrafiltration,2.00,2.19
permeate_crossflow_ultrafiltration,2.00,2.19
permeate_crossflow_ultrafiltration,2.10,2.30
permeate_crossflow_ultrafiltration,2.10,2.30
lysisflush_microfiltration,2.80,3.07
lysisflush_microfiltration,2.80,3.07
lysisflush_microfiltration,2.20,2.41
lysisflush_microfiltration,2.20,2.41
lysisflush_ultrafiltration,2.50,2.74
lysisflush_ultrafiltration,2.50,2.74
lysisflush_ultrafiltration,2.70,2.96
lysisflush_ultrafiltration,2.70,2.96
Blank,0.00,0.00
Lower calibration,0.05,0.05
